Nº Protocolo;Código DRE;DRE;Processo ;Código OSC Parceira;OSC Parceira;CNPJ;Código Escola;Unidade Educacional;Vagas Contratadas;Vagas Berçário Contratadas;Valor Mensal;Verba Locação;Valor Mensal IPTU;Data Início;Data Término;Situação Parceria;Data Solicitação Parceria;Data Lavratura do Termo;Data do Encerramento
2442017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0043906-9;301037;ASSOCIACAO EDUCACIONAL UIRAPURU;13.932.073/0001-63;400831;CEI INDIR - ACUCENA JORGE LIAN;205;57;228745,55;0;0;28/10/2022;27/10/2027;Aprovado;26/10/2017;28/10/2017;
7092017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0046684-8;300921;CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI;13.222.705/0001-03;400806;CEI INDIR - CHACARA DO JOCKEY;256;96;235092,8;0;0;01/01/2018;31/12/2022;Encerrado;06/12/2017;01/01/2018;01/08/2019
1142019;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2019/0043553-9;800265;CENTRO DE DESENVOLVIMENTO E AMPARO A PESSOA;13.222.705/0001-03;400870;CEI INDIR - CHACARA DO JOCKEY;223;100;316583,02;0;0;02/08/2019;01/08/2024;Aprovado;22/08/2019;02/08/2019;
2510;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.323.052-6;300921;CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI;01.309.378/0001-34;400806;CEI INDIR - CHACARA DO JOCKEY;279;132;166768,62;0;0;22/12/2015;21/06/2018;Encerrado;11/12/2015;22/12/2015;31/12/2017
5912017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0040577-6;300508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400414;CEI INDIR - COHAB EDUCANDARIO;130;49;162788,45;0;0;01/01/2023;31/12/2027;Aprovado;29/11/2017;01/01/2018;
1745;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.926-1;300508;OBRA ASSISTENCIAL JESUS MENINO;60.597.044/0001-72;400414;CEI INDIR - COHAB EDUCANDARIO;140;45;84691,5;0;0;01/07/2015;31/12/2017;Encerrado;25/03/2015;26/12/2012;31/12/2017
462023;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2023/0067468-9;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;43.082.197/0001-68;400887;CEI INDIR - DOM CLAUDIO HUMMES;112;46;145918,26;0;0;12/06/2023;11/06/2028;Aprovado;05/06/2023;12/06/2023;
2505;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.285.254-0;300038;ASS BENEFICENTE CAMINHO DE DAMASCO;43.082.197/0001-68;400665;CEI INDIR - ESMERALDA;60;16;42763,12;0;0;10/12/2015;09/06/2018;Encerrado;10/12/2015;10/12/2015;05/07/2016
50;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.152.734-0;300038;ASS BENEFICENTE CAMINHO DE DAMASCO;62.197.413/0001-65;400665;CEI INDIR - ESMERALDA;60;16;37698,8;0;0;16/07/2013;15/01/2016;Encerrado;24/03/2014;16/07/2013;10/12/2015
1202;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2007-0.342.903-1;300517;MOSTEIRO SAO GERALDO DE SAO PAULO;64.033.061/0001-38;400460;CEI INDIR - ISABEL RIBEIRO;78;17;37284;0;0;01/07/2010;31/12/2012;Encerrado;13/08/2014;28/12/2007;
