district,race,birth_country,total_students
BELA VISTA,BRANCA,BRASIL,100
BELA VISTA,PARDA,BRASIL,85
CAMPO LIMPO,PARDA,BRASIL,57
CAMPO LIMPO,BRANCA,BRASIL,51
BELA VISTA,N�O DECLARADA,BRASIL,36
CAMPO LIMPO,RECUSOU INFORMA,BRASIL,33
CAMPO LIMPO,NÃO DECLARADA,BRASIL,33
IGUATEMI,NÃO DECLARADA,BRASIL,29
CAMPO LIMPO,N�O DECLARADA,BRASIL,27
BELA VISTA,RECUSOU INFORMA,BRASIL,26
PEDREIRA,NÃO DECLARADA,BRASIL,23
CAPAO REDONDO,NÃO DECLARADA,BRASIL,22
CAMPO LIMPO,PRETA,BRASIL,19
JAGUARA,PARDA,BRASIL,17
SAO LUCAS,NÃO DECLARADA,BRASIL,15
BELA VISTA,PRETA,BRASIL,15
JARDIM ANGELA,PARDA,BRASIL,14
IGUATEMI,PARDA,BRASIL,13
ITAQUERA,NÃO DECLARADA,BRASIL,11
VILA MEDEIROS,NÃO DECLARADA,BRASIL,11
CAPAO REDONDO,BRANCA,BRASIL,10
JARDIM ANGELA,BRANCA,BRASIL,10
VILA MATILDE,NÃO DECLARADA,BRASIL,9
BUTANTA,PARDA,BRASIL,9
JAGUARA,BRANCA,BRASIL,9
VILA ANDRADE,PARDA,BRASIL,9
GRAJAU,PARDA,BRASIL,9
IGUATEMI,BRANCA,BRASIL,9
BELA VISTA,AMARELA,BRASIL,7
CIDADE ADEMAR,PARDA,BRASIL,6
JARAGUA,NÃO DECLARADA,BRASIL,6
JARDIM SAO LUIS,PARDA,BRASIL,6
BUTANTA,BRANCA,BRASIL,5
JARDIM ANGELA,NÃO DECLARADA,BRASIL,5
IGUATEMI,RECUSOU INFORMA,BRASIL,5
VILA ANDRADE,BRANCA,BRASIL,5
SAO LUCAS,BRANCA,BRASIL,4
SAO RAFAEL,NÃO DECLARADA,BRASIL,4
BUTANTA,PRETA,BRASIL,4
CAPAO REDONDO,PARDA,BRASIL,4
JARDIM ANGELA,PRETA,BRASIL,4
PEDREIRA,PARDA,BRASIL,4
SAO RAFAEL,N�O DECLARADA,BRASIL,4
ERMELINO MATARAZZO,PRETA,BRASIL,3
VILA ANDRADE,PRETA,BRASIL,3
ERMELINO MATARAZZO,BRANCA,BRASIL,3
SAO RAFAEL,PARDA,BRASIL,3
GRAJAU,BRANCA,BRASIL,3
GRAJAU,N�O DECLARADA,BRASIL,3
VILA SONIA,PARDA,BRASIL,3
JABAQUARA,BRANCA,BRASIL,3
JABAQUARA,RECUSOU INFORMA,BRASIL,3
CAPAO REDONDO,RECUSOU INFORMA,BRASIL,3
JAGUARA,PRETA,BRASIL,3
CAPAO REDONDO,PRETA,BRASIL,3
JARDIM ANGELA,N�O DECLARADA,BRASIL,3
JABAQUARA,NÃO DECLARADA,BRASIL,2
ITAQUERA,PARDA,BRASIL,2
IGUATEMI,PRETA,BRASIL,2
CIDADE TIRADENTES,BRANCA,BRASIL,2
GRAJAU,RECUSOU INFORMA,BRASIL,2
VILA SONIA,PRETA,BRASIL,2
VILA MEDEIROS,BRANCA,BRASIL,2
VILA MATILDE,PARDA,BRASIL,2
SAPOPEMBA,NÃO DECLARADA,BRASIL,2
ERMELINO MATARAZZO,PARDA,BRASIL,2
JABAQUARA,PARDA,BRASIL,2
JAGUARA,N�O DECLARADA,BRASIL,2
CIDADE TIRADENTES,PARDA,BRASIL,2
CIDADE TIRADENTES,N�O DECLARADA,BRASIL,2
VILA SONIA,RECUSOU INFORMA,BRASIL,1
BELA VISTA,BRANCA,ARGENTINA,1
BRASILANDIA,RECUSOU INFORMA,BRASIL,1
BUTANTA,RECUSOU INFORMA,BRASIL,1
CAPAO REDONDO,N�O DECLARADA,BRASIL,1
CIDADE ADEMAR,BRANCA,BRASIL,1
CIDADE ADEMAR,N�O DECLARADA,BRASIL,1
CIDADE ADEMAR,PRETA,BRASIL,1
GRAJAU,PRETA,BRASIL,1
JAGUARA,INDIGENA,BRASIL,1
JAGUARA,RECUSOU INFORMA,BRASIL,1
JARAGUA,BRANCA,BRASIL,1
JARAGUA,PARDA,BRASIL,1
JARAGUA,PRETA,BRASIL,1
JARAGUA,RECUSOU INFORMA,BRASIL,1
JARDIM SAO LUIS,BRANCA,BRASIL,1
PEDREIRA,BRANCA,BRASIL,1
PEDREIRA,N�O DECLARADA,BRASIL,1
PEDREIRA,PRETA,BRASIL,1
PERUS,BRANCA,BRASIL,1
PONTE RASA,NÃO DECLARADA,BRASIL,1
PONTE RASA,PARDA,BRASIL,1
SAO LUCAS,PARDA,BRASIL,1
SAO LUCAS,RECUSOU INFORMA,BRASIL,1
SAO MIGUEL,BRANCA,BRASIL,1
SAO MIGUEL,NÃO DECLARADA,BRASIL,1
SAO MIGUEL,PARDA,BRASIL,1
SAO RAFAEL,RECUSOU INFORMA,BRASIL,1
VILA ANDRADE,N�O DECLARADA,BRASIL,1
VILA ANDRADE,RECUSOU INFORMA,BRASIL,1
VILA CURUCA,BRANCA,BRASIL,1
VILA CURUCA,NÃO DECLARADA,BRASIL,1
VILA CURUCA,PARDA,BRASIL,1
VILA JACUI,BRANCA,BRASIL,1
VILA MATILDE,BRANCA,BRASIL,1
VILA MEDEIROS,PARDA,BRASIL,1
VILA MEDEIROS,RECUSOU INFORMA,BRASIL,1
BELA VISTA,AMARELA,BOLÍVIA,1
