district,nee,total_students
CAPAO REDONDO,AUTISMO,564
JARDIM ANGELA,AUTISMO,497
CAPAO REDONDO,INTELECTUAL,493
GRAJAU,AUTISMO,479
JARAGUA,AUTISMO,453
CAMPO LIMPO,AUTISMO,438
JARDIM SAO LUIS,AUTISMO,347
BRASILANDIA,AUTISMO,338
JARDIM ANGELA,INTELECTUAL,335
SAPOPEMBA,AUTISMO,335
IGUATEMI,AUTISMO,318
FREGUESIA DO O,AUTISMO,271
CIDADE TIRADENTES,AUTISMO,266
CIDADE DUTRA,AUTISMO,262
FREGUESIA DO O,INTELECTUAL,254
JARAGUA,INTELECTUAL,247
SAPOPEMBA,INTELECTUAL,247
TREMEMBE,INTELECTUAL,242
LAJEADO,AUTISMO,236
GRAJAU,INTELECTUAL,230
TREMEMBE,AUTISMO,225
CAMPO LIMPO,INTELECTUAL,217
JACANA,AUTISMO,195
CIDADE DUTRA,INTELECTUAL,194
SACOMA,AUTISMO,192
SAO RAFAEL,INTELECTUAL,190
LIBERDADE,SURDEZ_SEVERA,186
RAPOSO TAVARES,AUTISMO,186
SAO RAFAEL,AUTISMO,183
CIDADE ADEMAR,AUTISMO,176
BRASILANDIA,INTELECTUAL,176
JABAQUARA,AUTISMO,176
ITAIM PAULISTA,AUTISMO,175
CIDADE TIRADENTES,INTELECTUAL,169
IGUATEMI,INTELECTUAL,166
JARDIM SAO LUIS,INTELECTUAL,165
LAJEADO,INTELECTUAL,161
CACHOEIRINHA,AUTISMO,161
CIDADE LIDER,INTELECTUAL,156
VILA MEDEIROS,AUTISMO,152
VILA MARIANA,INTELECTUAL,151
PEDREIRA,AUTISMO,147
SACOMA,INTELECTUAL,147
PERUS,AUTISMO,146
TATUAPE,INTELECTUAL,146
SAO MATEUS,AUTISMO,141
VILA ANDRADE,AUTISMO,140
CAPAO REDONDO,FIS_N_CADEIR,140
PIRITUBA,AUTISMO,137
VILA MARIA,AUTISMO,131
SAO LUCAS,AUTISMO,131
PARELHEIROS,AUTISMO,130
CIDADE LIDER,AUTISMO,127
VILA CURUCA,AUTISMO,125
ERMELINO MATARAZZO,INTELECTUAL,120
SAO MATEUS,INTELECTUAL,119
JACANA,INTELECTUAL,113
CACHOEIRINHA,INTELECTUAL,111
PARELHEIROS,INTELECTUAL,111
JARDIM HELENA,AUTISMO,108
RIO PEQUENO,AUTISMO,105
ANHANGUERA,AUTISMO,102
PERUS,INTELECTUAL,99
VILA JACUI,AUTISMO,96
CANGAIBA,AUTISMO,95
ITAQUERA,AUTISMO,95
SAO LUCAS,INTELECTUAL,92
JABAQUARA,INTELECTUAL,92
TUCURUVI,AUTISMO,89
JARDIM ANGELA,FIS_N_CADEIR,88
GRAJAU,FIS_N_CADEIR,87
GUAIANASES,AUTISMO,85
VILA PRUDENTE,AUTISMO,84
VILA FORMOSA,INTELECTUAL,84
MANDAQUI,INTELECTUAL,82
VILA MEDEIROS,INTELECTUAL,81
RAPOSO TAVARES,INTELECTUAL,79
CASA VERDE,AUTISMO,78
LIMAO,AUTISMO,74
BUTANTA,AUTISMO,73
RIO PEQUENO,INTELECTUAL,72
SAO MIGUEL,AUTISMO,71
IPIRANGA,AUTISMO,71
VILA ANDRADE,INTELECTUAL,71
