district,open_spaces
JARDIM ANGELA,4494
BRASILANDIA,4374
SAPOPEMBA,4330
GRAJAU,3800
IGUATEMI,3676
CIDADE TIRADENTES,3546
PEDREIRA,3397
SAO RAFAEL,3320
JARAGUA,3154
PERUS,2994
CAPAO REDONDO,2555
RAPOSO TAVARES,2369
CAMPO LIMPO,2357
LAJEADO,2279
CIDADE DUTRA,2048
CACHOEIRINHA,1886
JACANA,1609
PARELHEIROS,1602
JABAQUARA,1550
VILA JACUI,1533
JARDIM SAO LUIS,1497
ANHANGUERA,1439
VILA ANDRADE,1412
PENHA,1396
CANGAIBA,1377
VILA CURUCA,1341
ITAIM PAULISTA,1268
SACOMA,1244
CASA VERDE,1227
RIO PEQUENO,1176
TREMEMBE,1160
FREGUESIA DO O,1091
SAO MATEUS,1084
ERMELINO MATARAZZO,1046
CIDADE ADEMAR,1035
LIMAO,1011
VILA MARIA,978
VILA LEOPOLDINA,974
ITAQUERA,964
VILA MEDEIROS,920
CAMPO GRANDE,886
BUTANTA,852
ARICANDUVA,828
CIDADE LIDER,807
AGUA RASA,772
JOSE BONIFACIO,757
SAO LUCAS,710
SAO DOMINGOS,687
PIRITUBA,645
TATUAPE,613
MORUMBI,612
VILA SONIA,609
PONTE RASA,576
GUAIANASES,553
JARDIM HELENA,550
SAO MIGUEL,542
MANDAQUI,498
TUCURUVI,486
VILA MATILDE,471
CARRAO,467
SANTO AMARO,451
SOCORRO,431
CURSINO,375
ARTUR ALVIM,370
BELA VISTA,354
VILA PRUDENTE,348
IPIRANGA,348
PARI,269
SAUDE,244
VILA GUILHERME,234
PARQUE DO CARMO,224
CAMPO BELO,206
SANTA CECILIA,185
PERDIZES,177
MOEMA,166
BELEM,160
BOM RETIRO,140
LIBERDADE,136
LAPA,123
JAGUARE,121
MARSILAC,113
VILA MARIANA,110
SANTANA,105
ALTO DE PINHEIROS,104
JAGUARA,103
MOOCA,87
VILA FORMOSA,82
CONSOLACAO,71
BARRA FUNDA,49
CAMBUCI,47
PINHEIROS,45
JARDIM PAULISTA,38
REPUBLICA,31
ITAIM BIBI,24
SE,9
BRAS,8
