school,ambient,total_ambients
SAO FRANCISCO DE ASSIS,SALA DE ED. INFANTIL PROPRIA ,33
BARONESA DE LIMEIRA,SALA DE AULA PROPRIA         ,32
JARDIM DAS ORQUIDEAS,SALA DE ED. INFANTIL PROPRIA ,28
AGAPE I,BERCARIO,27
JAGUARE,SALA DE ED. INFANTIL PROPRIA ,26
SANTA CATARINA,SALA DE AULA PROPRIA         ,26
THEREZA MACIEL DE PAULA PROFA.,SALA DE AULA PROPRIA         ,25
ALICE ALVES,BERCARIO,23
CASA BLANCA,SALA DE ED. INFANTIL PROPRIA ,23
TERESA MARGARIDA DA SILVA E ORTA,SALA DE AULA PROPRIA         ,23
CAROLINA MARIA DE JESUS,SALA DE ED. INFANTIL PROPRIA ,22
EDUCADOR PAULO FREIRE,SALA DE ED. INFANTIL PROPRIA ,22
GIRASSOL,SALA DE ED. INFANTIL PROPRIA ,22
JACANA,SALA DE AULA PROPRIA         ,22
ALVARENGA,SALA DE ED. INFANTIL PROPRIA ,21
FUTURO BRILHANTE V,SALA DE AULA PROPRIA         ,21
JARDIM PAULISTANO,SALA DE ED. INFANTIL PROPRIA ,21
OCTAVIO MANGABEIRA,SALA DE AULA PROPRIA         ,21
PARAISOPOLIS,SALA DE AULA PROPRIA         ,21
SAO MATEUS,SALA DE ED. INFANTIL PROPRIA ,21
VILA DO SOL,SALA DE AULA PROPRIA         ,21
BELEM,SALA DE ED. INFANTIL PROPRIA ,20
HIPOLITO JOSE DA COSTA,SALA DE AULA PROPRIA         ,20
NAVEGANTES,SALA DE ED. INFANTIL PROPRIA ,20
PEDRO E MARIA,BERCARIO,20
PERA MARMELO,SALA DE ED. INFANTIL PROPRIA ,20
CANTOS DO AMANHECER,SALA DE AULA PROPRIA         ,19
CAROLINA MARIA DE JESUS,BERCARIO,19
CORA CORALINA,BERCARIO,19
ESCOLA MUNICIPAL DE ED PROF E SAUDE PUBLICA PROF MAKIGUTI,SALA DE AULA PROPRIA         ,19
ESPACO CRIANCA,SALA DE ED. INFANTIL PROPRIA ,19
EZEQUIEL RAMOS JUNIOR,SALA DE AULA PROPRIA         ,19
FEITICO DA VILA,SALA DE AULA PROPRIA         ,19
MANOEL VIEIRA DE QUEIROZ FILHO,SALA DE AULA PROPRIA         ,19
PARAISOPOLIS,SALA DE ED. INFANTIL PROPRIA ,19
PARQUE DO LAGO,SALA DE ED. INFANTIL PROPRIA ,19
PAULO DUARTE,SALA DE AULA PROPRIA         ,19
PERIMETRAL,SALA DE AULA PROPRIA         ,19
RUBENS PAIVA,SALA DE AULA PROPRIA         ,19
SAO PEDRO,SALA DE ED. INFANTIL PROPRIA ,19
TRES PONTES,SALA DE AULA PROPRIA         ,19
ALTO ALEGRE,SALA DE AULA PROPRIA         ,18
ANUNCIACAO FERREIRA II,SALA DE ED. INFANTIL PROPRIA ,18
BADRA,SALA DE AULA PROPRIA         ,18
BENEDITO CALIXTO,SALA DE AULA PROPRIA         ,18
CANTOS DO AMANHECER,SALA DE ED. INFANTIL PROPRIA ,18
CECILIA MEIRELES,SALA DE AULA PROPRIA         ,18
CEREJEIRAS,SALA DE ED. INFANTIL PROPRIA ,18
DOCE INFANCIA,BERCARIO,18
EMMI PIKLER,BERCARIO,18
GERALDO SESSO JUNIOR,SALA DE AULA PROPRIA         ,18
JARDIM FONTALIS,SALA DE AULA PROPRIA         ,18
JARDIM PAULISTANO,SALA DE AULA PROPRIA         ,18
JARDIM SIPRAMAR,SALA DE AULA PROPRIA         ,18
JOAO AMOS COMENIUS,SALA DE AULA PROPRIA         ,18
JOAO XXIII,SALA DE ED. INFANTIL PROPRIA ,18
JOSE MARIA WHITAKER,SALA DE AULA PROPRIA         ,18
JOSE SARAMAGO,SALA DE AULA PROPRIA         ,18
JOVELINA ALVES FEITOZA,BERCARIO,18
JULIO DE GRAMMONT,SALA DE AULA PROPRIA         ,18
LAJEADO,SALA DE AULA PROPRIA         ,18
MARIA CLARA MACHADO,SALA DE ED. INFANTIL PROPRIA ,18
OSWALDO ARANHA BANDEIRA DE MELLO,SALA DE AULA PROPRIA         ,18
PRIMEIRA INFANCIA,BERCARIO,18
PRIMEIROS PASSOS,BERCARIO,18
RECANTO DOS HUMILDES,SALA DE AULA PROPRIA         ,18
SANTA TEREZINHA,SALA DE ED. INFANTIL PROPRIA ,18
SATURNINO PEREIRA,SALA DE AULA PROPRIA         ,18
SUD MENNUCCI,SALA DE AULA PROPRIA         ,18
TIA LILA,SALA DE ED. INFANTIL PROPRIA ,18
TRES LAGOS,SALA DE ED. INFANTIL PROPRIA ,18
