escola,average_age
AVIB ASS DOS VOL INT DO BRASIL UNID XVIII G,78
ENTIDADE DE PROMOCAO E ASS SOCIAL ESPACO ABERTO UNID I SA,74
ENTIDADE DE PROMOCAO E ASSISTENCIA SOCIAL ESPACO ABERTO,73
CARITAS - SAO JOAO BATISTA - VALO VELHO,71
CONS COMUNITARIO DE EDUCACAO DISTRITO CURUCA E GRANDE LESTE,71
ASSOC CRIA ADOL JOVEM ICARAI UNID VI CS,70
AEC PADRE LUIZ SUTTER UNID V SM,69
ENTIDADE DE PROMOCAO E ASS SOCIAL ESPACO ABERTO UN GAROUPAS,69
UNAS-UNIAO NUCLEOS ASS MORADORES HELIOPOLIS E SAO J CLIMACO,69
CARITAS - SANTA TEREZINHA,68
CONS COM. DE EDUC DO DISTRITO DE CURUCA E GRANDE LESTE,68
ASSOC CRIA ADOL JOVEM ICARAI UNID XII CS,67
CLUBE DE MAES RAIOS DE LUAR UNID III IQ,67
INSTITUTO SOCIAL SANTA LUCIA - UNID VII,66
AVIB ASS DOS VOL INT DO BRASIL UNID II G,66
AVIB ASS DOS VOL INT DO BRASIL UNID X G,66
AEC PADRE LUIZ SUTTER - UNID XLII,66
CAPES CENTRO ANHANGUERA DE PROM E EDUC SOCIAL VII,65
AVIB ASS DOS VOL INT DO BRASIL UNID XI G,65
AVIB ASS DOS VOL INT DO BRASIL UNID XV G,65
UNIAO POPULAR DE MULHERES DE CAMPO LIMPO,65
CONSELHO COM ED DISTRITO CURUCA E GDE LESTE UNID I IT,65
RAIOS DE LUZ UNID VI,65
ASS CULT ESP BENEF VL NV CACHOEIRINHA - UNID III FO,65
SOCIEDADE DOS AMIGOS DO DISTRITO DE PERUS VI,64
RAIOS DE LUZ UNID I,64
ASS BENEFICENTE DAS MULHERES VOLUNTARIOSAS,64
ASS TRAB ITAIM PAULISTA PQ PAULISTANO,64
CENTRO DE EDUCACAO ZONA LESTE,64
AVIB ASS DOS VOL INT DO BRASIL UNID VIII G,64
